,index,ts_code,ann_date,date,net_value,accum_nav,accum_div,net_asset,total_netasset,adj_nav,update_flag
0,0,159320.SZ,20241213,2024-12-12,1.0,1.0,,231745173.0,231745173.0,1.0,1
1,1,159320.SZ,20241214,2024-12-13,0.9993,0.9993,,231745173.0,231745173.0,0.9993,1
2,2,159320.SZ,20241219,2024-12-17,0.998,0.998,,231278213.07,231278213.07,0.998,1
3,3,159320.SZ,20241221,2024-12-20,1.0011,1.0011,,231278213.07,231278213.07,1.0011,0
4,4,159320.SZ,20241224,2024-12-23,0.9872,0.9872,,231278213.07,231278213.07,0.9872,0
5,5,159320.SZ,20241225,2024-12-24,0.9993,0.9993,,231278213.07,231278213.07,0.9993,0
6,6,159320.SZ,20241226,2024-12-25,0.9892,0.9892,,231278213.07,231278213.07,0.9892,0
7,7,159320.SZ,20241227,2024-12-26,1.0032,1.0032,,231278213.07,231278213.07,1.0032,0
8,8,159320.SZ,20241228,2024-12-27,1.0025,1.0025,,231278213.07,231278213.07,1.0025,0
9,9,159320.SZ,20241231,2024-12-30,0.9949,0.9949,,231278213.07,231278213.07,0.9949,0
10,10,159320.SZ,20250101,2024-12-31,0.9737,0.9737,,231278213.07,231278213.07,0.9737,0
11,11,159320.SZ,20250103,2025-01-02,0.9467,0.9467,,231278213.07,231278213.07,0.9467,0
12,12,159320.SZ,20250104,2025-01-03,0.9344,0.9344,,231278213.07,231278213.07,0.9344,0
13,13,159320.SZ,20250107,2025-01-06,0.9375,0.9375,,231278213.07,231278213.07,0.9375,0
14,14,159320.SZ,20250108,2025-01-07,0.9519,0.9519,,231278213.07,231278213.07,0.9519,0
15,15,159320.SZ,20250109,2025-01-08,0.9498,0.9498,,231278213.07,231278213.07,0.9498,0
16,16,159320.SZ,20250110,2025-01-09,0.9442,0.9442,,231278213.07,231278213.07,0.9442,0
17,17,159320.SZ,20250111,2025-01-10,0.9272,0.9272,,231278213.07,231278213.07,0.9272,0
18,18,159320.SZ,20250114,2025-01-13,0.9222,0.9222,,231278213.07,231278213.07,0.9222,0
19,19,159320.SZ,20250115,2025-01-14,0.9515,0.9515,,231278213.07,231278213.07,0.9515,0
20,20,159320.SZ,20250116,2025-01-15,0.9424,0.9424,,231278213.07,231278213.07,0.9424,0
21,21,159320.SZ,20250117,2025-01-16,0.9542,0.9542,,231278213.07,231278213.07,0.9542,0
22,22,159320.SZ,20250118,2025-01-17,0.9608,0.9608,,231278213.07,231278213.07,0.9608,0
